MENUID,MENUTITLE,MENUPARENT,MENULEVEL,MENUORDER
3013,"Budget Planning Allocation 3 List",1574,3,9
3302,"Asset Registration Approval (Journal)",1668,3,9
1875,"Debit Note",1736,3,9
2337,"Voucher Replace",1818,3,9
3425,"Budget Report By Account",1966,3,9
2895,"Bill Report",1969,3,9
2934,"Senarai Aset Disokong Untuk Pelupusan",1991,3,9
2665,"Monthly Summary",2262,3,9
3400,"Debt Movement Report",2292,3,9
2361,"List of Cancel PR Partial",2319,3,9
2845,"Generated Offer Letter",2826,3,9
1075,"Barring Report",1059,3,10
1298,"Outbound Data Form",1061,3,10
1639,"Loan Information",1130,3,10
1795,"Summary Report on Accommodation Fee Charges by Student Accommodation (Inasis)",1263,3,10
2438,"Other Deduction",1436,3,10
1474,"Service Scheme",1461,3,10
1917,Payslip,1481,3,10
3196,"Dasar Baru / One Off",1574,3,10
2749,"Monthly Loan",1695,3,10
2817,"Download Voucher Supplier By Batch",1818,3,10
2974,"Transaction History",1969,3,10
3330,"Asset Disposal Report",1991,3,10
2670,"Cash Balance By Fund",2262,3,10
3275,"Salary Deduction Calculator",1040,3,11
1082,"Fee Item",1059,3,11
1313,"Receipt by Batch Knockoff",1061,3,11
2717,Listing,1096,3,11
2496,Cancellation,1097,3,11
1425,Vouchers,1140,3,11
1797,"Fee Data Report for Ministry of Higher Education (MYMOHES)",1263,3,11
1408,Institution,1405,3,11
1971,"Report Accrual",1414,3,11
3438,"Laporan Daftar Pelaburan",1414,3,11
2674,"Tax Rate Calculator",1436,3,11
2962,"Monthly Invoice",1695,3,11
3133,"Payee List Report by PTJ",1969,3,11
2364,"Statistik Reminder",2292,3,11
3041,"List of PR To Be Cancel Partial",2319,3,11
2827,"Tender/Quotation Cancellation",2826,3,11
3280,"Salary Deduction Schedule Listing",1040,3,12
1083,"Fee Structure",1059,3,12
1323,"PTPTN Data Form",1061,3,12
2763,"Banker Cheque & Bank Draft",1096,3,12
1798," List of Students by Incoming Session Invoice Generated",1263,3,12
2948,"Activity Mapping",1436,3,12
3034,"PCB Calculator LHDN",1481,3,12
3279,"Planning to Initial",1574,3,12
3347,"Loan Status Complete",1695,3,12
1860,"Payment Information",1736,3,12
3534,"Download Voucher By Reference",1818,3,12
3372,"Buku Daftar Terimaan",1969,3,12
1514,"Journal to be Reversed",2135,3,12
3042,"Purchase Requisition Cancel Partial",2319,3,12
1741,"Update Card Info",1044,3,13
1084,"Academic Calendar",1059,3,13
1326,"PTPTN Process Form",1061,3,13
1848,EFT,1096,3,13
2067,"Regenerate Schedule",1130,3,13
2020,"Advance Payment",1149,3,13
1799,"List of Active Students Not Invoiced",1263,3,13
2940,"Income Code by Invoice Type",1436,3,13
3020,"Change EPF Contribution",1436,3,13
3329,"Salary Grade",1461,3,13
3296,Report,1574,3,13
1892,"Advance Payment / Deposit",1736,3,13
3249,"Cash Receipt Release",1044,3,14
1192,"Invoice Note",1059,3,14
1327,"PTPTN Gen Invoice Form",1061,3,14
3450,"Host To Host (BIMB)",1096,3,14
